id	x	y	z	fwhm_x	fwhm_y	e	tilt	co_max	cx_max	xpd sub_spill   main_spill
1002	-0,161738	-0,108979	20	0,348477	0,347689	1,002267	13,521439	54,73	7,31	47,42	0,000183	0,004644
1024	-0,160979	-0,163374	25	0,350685	0,350205	1,001371	-174,256536	54,65	7,42	47,23	0,000235	0,005053
1046	-0,159988	-0,217751	30	0,356681	0,352057	1,013134	30,48853	54,54	9,75	44,8	0,000324	0,004655
1068	-0,158765	-0,272147	35	0,361518	0,354277	1,020439	25,580715	54,44	10,83	43,61	0,000468	0,00457
1090	-0,157307	-0,326597	40	0,369303	0,356781	1,035098	20,322189	54,29	11,71	42,58	0,0007	0,005969
1111	-0,103511	0,3264	40	0,367584	0,355979	1,032601	-8,195253	54,33	9,99	44,34	0,000576	0,005021
1130	-0,105076	0,272287	30	0,356198	0,351502	1,013359	-7,869282	54,55	9,46	45,1	0,000394	0,004755
1150	-0,106285	0,217863	25	0,350731	0,349333	1,004003	1,240349	54,66	8,29	46,38	0,00027	0,005326
1170	-0,107251	0,163458	20	0,348919	0,347249	1,004809	-9,008088	54,72	6,18	48,54	0,000194	0,005159
1189	-0,108095	0,109157	10	0,343276	0,34426	1,002867	136,388213	54,85	4,47	50,38	0,000156	0,004948
1210	-0,108459	0,054561	10	0,344747	0,343429	1,003839	-0,767772	54,85	3,4	51,44	0,000128	0,005302
1230	-0,108701	0	5	0,343938	0,34232	1,004728	-0,000003	54,88	2,32	52,56	0,000124	0,005445
1252	-0,108459	-0,054561	10	0,344747	0,343429	1,003838	0,767773	54,85	3,4	51,44	0,000128	0,005302
1273	-0,108095	-0,109157	10	0,343277	0,344259	1,00286	-137,733381	54,85	4,47	50,38	0,000156	0,004948
1296	-0,107251	-0,163458	20	0,348919	0,347249	1,004809	9,008046	54,72	6,18	48,54	0,000194	0,005159
1318	-0,106285	-0,217863	25	0,350731	0,349333	1,004003	-1,240428	54,66	8,29	46,38	0,00027	0,005326
1340	-0,105076	-0,272287	30	0,356198	0,351502	1,013359	7,869285	54,55	9,46	45,1	0,000394	0,004755
1363	-0,103511	-0,3264	40	0,367584	0,355979	1,032601	8,195252	54,33	9,99	44,34	0,000576	0,005021
1383	-0,04957	0,32664	35	0,361194	0,352552	1,024513	9,861373	54,46	10,39	44,08	0,000528	0,006205
1403	-0,051017	0,272182	30	0,355394	0,350931	1,012718	10,252589	54,57	9,11	45,46	0,000352	0,005788
1422	-0,052266	0,218023	20	0,348953	0,346916	1,005871	22,467206	54,72	6,35	48,38	0,00025	0,005671
1442	-0,053208	0,163577	15	0,34742	0,345426	1,00577	10,245913	54,77	5,09	49,68	0,000181	0,005677
1462	-0,053898	0,109115	10	0,342674	0,34406	1,004045	-27,445703	54,87	2,9	51,97	0,000141	0,005621
1482	-0,054337	0,054601	5	0,342908	0,342811	1,000282	25,679352	54,89	-0,88	55,77	0,000121	0,005473
1502	-0,054524	0	0	0,342923	0,342212	1,002077	0,000002	54,9	-3,69	58,59	0,000117	0,005589
1524	-0,054337	-0,054601	5	0,342908	0,342811	1,000282	-25,683699	54,89	-0,88	55,77	0,000121	0,005473
1546	-0,053898	-0,109115	10	0,342674	0,34406	1,004045	27,445686	54,87	2,9	51,97	0,000141	0,005621
1568	-0,053208	-0,163577	15	0,34742	0,345426	1,00577	-10,245898	54,77	5,09	49,68	0,000181	0,005677
1590	-0,052266	-0,218023	20	0,348953	0,346916	1,005871	-22,467167	54,72	6,35	48,38	0,00025	0,005671
1613	-0,051017	-0,272182	30	0,355394	0,350931	1,012718	-10,25261	54,57	9,11	45,46	0,000352	0,005788
1635	-0,04957	-0,32664	35	0,361194	0,352552	1,024513	-9,861373	54,46	10,39	44,08	0,000528	0,006205
1656	0,00471	0,326584	35	0,361652	0,351667	1,028395	21,721445	54,47	11,27	43,2	0,000508	0,006103
1676	0,003269	0,272135	30	0,356068	0,34981	1,017888	26,61825	54,58	8,89	45,7	0,000343	0,005369
1695	0,002095	0,217986	20	0,34878	0,346747	1,005863	30,750887	54,73	7,68	47,05	0,000248	0,006029
1715	0,001179	0,163549	15	0,345971	0,345584	1,00112	-6,514988	54,79	3,82	50,97	0,000182	0,006302
1734	0,000525	0,109219	5	0,342974	0,343528	1,001616	-51,349139	54,87	0,24	54,63	0,000149	0,006167
1754	0,000131	0,054653	0	0,342126	0,342884	1,002217	-25,908855	54,9	-5,49	60,38	0,00013	0,005946
1775	0	0	0	0,342795	0,342548	1,000721	-0,00007	54,89	-10,23	68,77	0,000122	0,00587
1796	0,000131	-0,054653	0	0,342126	0,342884	1,002217	25,908845	54,9	-5,49	60,38	0,00013	0,005946
1818	0,000525	-0,109219	5	0,342974	0,343528	1,001615	51,359403	54,87	0,24	54,63	0,000149	0,006167
1841	0,001179	-0,163549	15	0,345971	0,345584	1,00112	6,525259	54,79	3,82	50,97	0,000182	0,006302
1863	0,002095	-0,217986	20	0,34878	0,346747	1,005863	-30,75103	54,73	7,68	47,05	0,000248	0,006029
